Date,Open,High,Low,close,adj_close,Volume,daily_returns_adj,daily_fwd_returns_adj
13-Jan-24,42799.45,43234.66,42464.14,42842.38,42842.38,20601860469,0.000251853,-0.00025179
12-Jan-24,46354.79,46498.14,41903.77,42853.17,42853.17,43332698900,0.082034071,-0.075814684
11-Jan-24,46656.07,48969.37,45678.64,46368.59,46368.59,45833734549,0.005589775,-0.005558703
10-Jan-24,46121.54,47647.22,44483.15,46627.78,46627.78,50114613298,-0.010466936,0.010577652
09-Jan-24,46987.64,47893.7,45244.71,46139.73,46139.73,39821290992,0.018005524,-0.017687059
08-Jan-24,43948.71,47218,43244.08,46970.5,46970.5,42746192015,-0.064453221,0.068893637
07-Jan-24,43998.46,44495.57,43662.23,43943.1,43943.1,19330573863,0.001049084,-0.001047985
06-Jan-24,44178.95,44227.63,43475.16,43989.2,43989.2,16092503468,0.003943923,-0.003928429
05-Jan-24,44192.98,44353.29,42784.72,44162.69,44162.69,32336029347,0.000390148,-0.000389996
04-Jan-24,42855.82,44770.02,42675.18,44179.92,44179.92,30448091210,-0.030143558,0.031080433
03-Jan-24,44961.6,45503.24,40813.54,42848.18,42848.18,46342323118,0.049238731,-0.046928053
02-Jan-24,44187.14,45899.71,44176.95,44957.97,44957.97,39335274536,-0.017586203,0.017901014
01-Jan-24,42280.23,44175.44,42214.98,44167.33,44167.33,18426978443,-0.043066674,0.045004885
31-Dec-23,42152.1,42860.94,41998.25,42265.19,42265.19,16397498810,-0.002562156,0.002568737
30-Dec-23,42091.75,42584.13,41556.23,42156.9,42156.9,16013925945,-0.001363952,0.001365815
29-Dec-23,42614.64,43124.32,41424.06,42099.4,42099.4,26000021055,0.012552673,-0.012397057
28-Dec-23,43468.2,43804.78,42318.55,42627.86,42627.86,22992093014,0.019118952,-0.018760275
27-Dec-23,42518.47,43683.16,42167.58,43442.86,43442.86,25260941032,-0.021233869,0.021694528
26-Dec-23,43599.85,43603.18,41676.49,42520.4,42520.4,30026850982,0.025699194,-0.025055293
25-Dec-23,43010.57,43765.09,42765.77,43613.14,43613.14,21115795370,-0.013688994,0.013878983
24-Dec-23,43728.37,43945.52,42786.92,43016.12,43016.12,18830554085,0.016817416,-0.016539269
23-Dec-23,44012.2,44015.7,43351.36,43739.54,43739.54,13507796558,0.005906784,-0.005872098
22-Dec-23,43868.99,44367.96,43441.97,43997.9,43997.9,21028503216,-0.002926276,0.002934864
21-Dec-23,43648.13,44240.67,43330.05,43869.15,43869.15,22452766169,-0.004944249,0.004968816
20-Dec-23,42261.3,44275.59,42223.82,43652.25,43652.25,27868908174,-0.031652893,0.032687549
19-Dec-23,42641.51,43354.3,41826.34,42270.53,42270.53,23171001281,0.008351208,-0.008282043
