Date,Open,High,Low,Close ,Adj_Close ,Volume,daily_returns,prct_returns
2023-08-15,29408.05,29439.12,29088.85,29170.35,29170.35,12640195779,-0.016063229,-0.016063229
2023-08-16,29169.07,29221.98,28701.78,28701.78,28701.78,14949271904,-0.070979221,-0.070979221
2023-08-17,28699.8,28745.95,25409.11,26664.55,26664.55,31120851211,-0.023063956,-0.023063956
2023-08-18,26636.08,26808.2,25668.92,26049.56,26049.56,24026236529,0.001790817,0.001790817
2023-08-19,26047.83,26249.45,25802.41,26096.21,26096.21,10631443812,0.003577914,0.003577914
2023-08-20,26096.86,26260.68,26004.31,26189.58,26189.58,9036580420,-0.002498704,-0.002498704
2023-08-21,26188.69,26220.2,25846.09,26124.14,26124.14,13371557893,-0.003540021,-0.003540021
2023-08-22,26130.75,26135.51,25520.73,26031.66,26031.66,14503820706,0.015365136,0.015365136
2023-08-23,26040.47,26786.9,25805,26431.64,26431.64,16985265785,-0.010187412,-0.010187412
2023-08-24,26431.52,26554.91,25914.93,26162.37,26162.37,12871532023,-0.004384159,-0.004384159
2023-08-25,26163.68,26248.1,25786.81,26047.67,26047.67,12406045118,-0.001505317,-0.001505317
2023-08-26,26047.23,26107.38,25983.88,26008.46,26008.46,6034817316,0.003123215,0.003123215
2023-08-27,26008.24,26165.37,25965.1,26089.69,26089.69,6913768611,0.000630901,0.000630901
2023-08-28,26089.62,26198.58,25880.6,26106.15,26106.15,11002805166,0.062101842,0.062101842
2023-08-29,26102.49,28089.34,25912.63,27727.39,27727.39,29368391712,-0.015512459,-0.015512459
2023-08-30,27726.08,27760.16,27069.21,27297.27,27297.27,16343655235,-0.050034307,-0.050034307
2023-08-31,27301.93,27456.08,25752.93,25931.47,25931.47,20181001451,-0.005042136,-0.005042136
2023-09-01,25934.02,26125.87,25362.61,25800.72,25800.72,17202862221,0.002638686,0.002638686
2023-09-02,25800.91,25970.29,25753.09,25868.8,25868.8,10100387473,0.003895426,0.003895426
2023-09-03,25869.47,26087.15,25817.03,25969.57,25969.57,8962524523,-0.006051313,-0.006051313
2023-09-04,25968.17,26081.53,25657.03,25812.42,25812.42,10680635106,-0.001256759,-0.001256759
2023-09-05,25814.96,25858.38,25589.99,25779.98,25779.98,11094740040,-0.001037239,-0.001037239
2023-09-06,25783.93,25953.02,25404.36,25753.24,25753.24,12752705327,0.018908689,0.018908689
2023-09-07,25748.31,26409.3,25608.2,26240.2,26240.2,11088307100,-0.012749522,-0.012749522
2023-09-08,26245.21,26414.01,25677.48,25905.65,25905.65,10817356400,-0.000384858,-0.000384858
2023-09-09,25905.43,25921.98,25810.49,25895.68,25895.68,5481314132,-0.002450216,-0.002450216
2023-09-10,25895.21,25978.13,25640.26,25832.23,25832.23,7899553047,-0.025920333,-0.025920333
2023-09-11,25831.71,25883.95,24930.3,25162.65,25162.65,14600006467,0.026654188,0.026654188
2023-09-12,25160.66,26451.94,25133.08,25833.34,25833.34,18657279324,0.015289544,0.015289544
2023-09-13,25837.55,26376.11,25781.12,26228.32,26228.32,13072077070,0.011870756,0.011870756
2023-09-14,26228.28,26774.62,26171.45,26539.67,26539.67,13811359124,0.002600635,0.002600635
2023-09-15,26533.82,26840.5,26240.7,26608.69,26608.69,11479735788,-0.001518677,-0.001518677
2023-09-16,26606.2,26754.77,26473.89,26568.28,26568.28,7402031417,-0.001283109,-0.001283109
2023-09-17,26567.93,26618,26445.07,26534.19,26534.19,6774210670,0.008294581,0.008294581
2023-09-18,26532.99,27414.73,26415.52,26754.28,26754.28,15615339655,0.017075399,0.017075399
2023-09-19,26760.85,27488.76,26681.61,27211.12,27211.12,13807690550,-0.002907267,-0.002907267
2023-09-20,27210.23,27379.51,26864.08,27132.01,27132.01,13281116604,-0.02080126,-0.02080126
2023-09-21,27129.84,27152.94,26389.3,26567.63,26567.63,13371443708,0.000449419,0.000449419
2023-09-22,26564.06,26726.08,26495.53,26579.57,26579.57,10578746709,-6.77212E-06,-6.77212E-06
2023-09-23,26578.56,26634.19,26520.52,26579.39,26579.39,7404700301,-0.012135719,-0.012135719
2023-09-24,26579.37,26716.06,26221.05,26256.83,26256.83,8192867686,0.001586254,0.001586254
2023-09-25,26253.78,26421.51,26011.47,26298.48,26298.48,11997833257,-0.003088772,-0.003088772
2023-09-26,26294.76,26389.88,26090.71,26217.25,26217.25,9985498161,0.005167209,0.005167209
2023-09-27,26209.5,26817.84,26111.46,26352.72,26352.72,11718380997,0.025379923,0.025379923
2023-09-28,26355.81,27259.5,26327.32,27021.55,27021.55,14079002707,-0.004064534,-0.004064534
2023-09-29,27024.84,27225.94,26721.76,26911.72,26911.72,10396435377,0.002088309,0.002088309
2023-09-30,26911.69,27091.79,26888.97,26967.92,26967.92,5331172801,0.037668089,0.037668089
2023-10-01,26967.4,28047.24,26965.09,27983.75,27983.75,9503917434,-0.016186537,-0.016186537
2023-10-02,27976.8,28494.46,27347.79,27530.79,27530.79,19793041322,-0.003661718,-0.003661718
2023-10-03,27508.25,27667.19,27216,27429.98,27429.98,11407814187,0.013467381,0.013467381
2023-10-04,27429.07,27826.66,27248.11,27799.39,27799.39,11143355314,-0.013794547,-0.013794547
2023-10-05,27798.65,28091.86,27375.6,27415.91,27415.91,11877253670,0.019357008,0.019357008
2023-10-06,27412.12,28252.54,27215.55,27946.6,27946.6,13492391599,0.000795803,0.000795803
