Feature,MI
X132,0.06004645631246497
X374,0.060045827333985
X780,0.059737831417045584
X383,0.059699301219687584
X338,0.05958105650710355
X682,0.05955568697624081
X372,0.059435800669980665
X784,0.059318630145380524
X425,0.058900950522003725
X689,0.05875665129388796
X174,0.05873828131514358
X398,0.05836131331634853
X240,0.058334208262960985
X676,0.05809705161154177
X288,0.05805127239666863
X90,0.05786954261300181
X532,0.05769775654017906
X145,0.05752501081452266
X341,0.05726667611821057
X375,0.05700854307325098
X417,0.05700378211249291
X333,0.05700006439820271
X581,0.0568470194077797
X695,0.056410468913929535
X130,0.055819338945731545
X590,0.05573311500080269
X293,0.05549464767333845
X724,0.05531777388654202
X589,0.055196009700101634
X725,0.05514832293177108
X379,0.05499860907792531
X842,0.05493695992068037
X866,0.054647237624743994
X679,0.0545872211203875
X291,0.054461176139872336
X885,0.05443067025550263
X445,0.05436175071619864
X487,0.054168591878497985
X598,0.05414474829789029
X673,0.054037223149121516
X414,0.05361583052656105
X216,0.05361359338764515
X834,0.05307937957370257
X337,0.053035147091506474
X97,0.052998105015127805
X856,0.05280691497840806
X247,0.05273187400351809
X330,0.05270576353750567
X286,0.052670730206338945
X392,0.05264107490830572
X494,0.05239222997264825
X332,0.0522911321551236
X758,0.052289723769338714
X838,0.0522529935517726
X540,0.052043003802132226
X121,0.05189418250933109
X289,0.05176688179155242
X836,0.05169424136116252
X851,0.05168661662357277
X368,0.051660041697075165
X850,0.0515967433935991
X285,0.05153830861631903
X753,0.05132234671584435
X868,0.051256615641121606
X814,0.050898488140164844
X754,0.050866536158306275
X837,0.050679050413622306
X844,0.05048997717037462
X574,0.05017873129940664
X239,0.0499643731784154
X830,0.0496179439378821
X750,0.049477172316771956
X283,0.04939774516237172
X841,0.04930094098510729
X840,0.04924419049300255
X115,0.04906928472978045
X597,0.04898302835823376
X525,0.048919609173624146
X587,0.048871509799615964
X861,0.04885327427554653
X786,0.04880343877502913
X826,0.04880079066054055
X757,0.048785142024141415
X541,0.0487155333536764
X284,0.04855194840971411
X756,0.04836912999162557
X596,0.048081714039627244
X464,0.04773796742584224
X246,0.04756670653959283
X537,0.04752295337532608
X845,0.047476289955559636
X742,0.04737162064665945
X777,0.047366298202725865
X215,0.04727427528945327
X752,0.04713635992303011
X884,0.04691454501828218
X538,0.04691373425252188
X746,0.04676845298955623
X828,0.04675874158466087
X810,0.04663960857521321
X281,0.046545803882902526
X808,0.04654342670400169
X362,0.046517793130087526
X723,0.046395143955981766
X812,0.04635330367728496
X238,0.04628866096555573
X582,0.046287279578979046
X91,0.04617828770506893
X126,0.04613804958148293
X287,0.04607676350042489
X809,0.045951869918542165
X82,0.04593240866157089
X356,0.04577367675304256
volume,0.04568156603192097
X594,0.04563926521385575
X282,0.045438325889191056
X119,0.045370921851262125
X595,0.04533384908678251
X782,0.045231114050436894
X813,0.045228457991994375
X833,0.04509456161643133
X103,0.045073958962762894
X161,0.0450662361638452
X829,0.04500467652278495
X245,0.04489871368370313
X533,0.044840535775915846
X738,0.044799011838352776
