,MI Scores
PC632,0.01001299774230624
PC90,0.010001510316655526
PC298,0.009975031894425612
PC696,0.009969433485977675
PC113,0.009946622400605065
PC300,0.009934619711743586
PC211,0.009925291960705351
PC133,0.009923056277320264
PC773,0.00991010285928784
PC294,0.009909778731653773
PC439,0.009901086848598695
PC399,0.009889296483697407
PC790,0.009870621493156762
PC766,0.009828762057884077
PC638,0.009827294281380183
PC200,0.009826040406018421
PC426,0.009824167048635424
PC257,0.009822451915010966
PC186,0.009813272140053897
PC124,0.009810815097489822
PC342,0.009802155426291037
PC380,0.009792772385541326
PC134,0.009775373821539368
PC383,0.009774995710312595
PC367,0.009769031507301129
PC235,0.009762723701234322
PC312,0.009745496664887554
PC361,0.00974237075626938
PC237,0.009701005049302047
PC357,0.009663153195702101
PC240,0.009655470011616707
PC307,0.009638773902853615
PC511,0.009615338758655945
PC762,0.009604819934249775
PC253,0.009601801818807765
PC277,0.009583343141239986
PC455,0.00958156278884914
PC673,0.009569475529532134
PC370,0.009569158063116312
PC748,0.00955434673237665
PC436,0.009542628688590682
PC640,0.009537685661667794
PC356,0.009535397219842423
PC466,0.009529424383235785
PC733,0.009502991095406088
PC178,0.009497533256012325
PC376,0.009496959438962449
PC576,0.009451221116200337
PC533,0.00944802025459257
PC250,0.009444519807010998
PC534,0.009404263562612591
PC386,0.009397952401559273
PC559,0.009384118452575585
PC661,0.00937290859916562
PC323,0.009363816387372381
PC556,0.00933547004235269
PC106,0.00927547511967397
PC727,0.009263800144078793
PC268,0.009263282485786561
PC293,0.009236835523084963
PC417,0.009234328973276362
PC483,0.009230380266394
PC457,0.009221893290008332
PC146,0.009220670888351101
PC535,0.009220354980874923
PC389,0.00921791992768739
PC825,0.009209656713951908
PC502,0.009209627790644603
PC803,0.009206343130769845
PC89,0.009205404079123625
PC715,0.0092050919993234
PC692,0.009186804165391749
PC589,0.00918347536926678
PC321,0.009182340257952504
PC542,0.009171040702478983
PC97,0.009166436248451149
PC694,0.009163649771771532
PC612,0.009159470057921837
PC142,0.009145065808983333
PC198,0.009115609602620367
PC623,0.009111863363294503
PC663,0.009099078829960305
PC578,0.009099069662896753
PC392,0.009097090852866252
PC664,0.009096897024984507
PC327,0.00908207563393848
PC151,0.009074185153686187
PC196,0.00906185672456683
PC137,0.009052995945658893
PC201,0.009050299497826764
PC269,0.009046811401249855
PC680,0.009030636181648788
PC678,0.00902059325689386
PC580,0.009003278070555787
PC546,0.009001463090711148
PC586,0.008981349121786941
PC698,0.008979767130822935
PC770,0.008976975900147899
PC473,0.008974031108504477
PC379,0.008973856990007967
PC829,0.008969572409008642
PC271,0.008968905040352304
PC626,0.008963905990142074
PC791,0.008948735475126313
PC402,0.008944016538618982
PC620,0.008937078298749235
PC477,0.008930024053937835
PC415,0.00890476639506943
PC23,0.008903534049796491
PC472,0.00889025014195699
